ID, Label, Wikipedia
Q357779,"Henri Konan Bédié","Henri Konan Bédié"
Q357786,"Divine","Divine (performer)"
Q357872,"Giacomo Torelli","Giacomo Torelli"
Q357924,"Dick Johnson","Dick Johnson (clarinetist)"
Q357961,"Samuel Pierpont Langley","Samuel Pierpont Langley"
Q357988,"Lanxi Daolong","Lanxi Daolong"
Q358061,"Josep Guinovart","Josep Guinovart"
Q358077,"Domenico dell'Allio","Domenico dell'Allio"
Q358137,"Alex O'Loughlin","Alex O'Loughlin"
Q358140,"Kálmán Giergl","Kálmán Giergl"
Q358158,"Sebastião Salgado","Sebastião Salgado"
Q358188,"Jeffery Deaver","Jeffery Deaver"
Q358399,"Wilhelm Marstrand","Wilhelm Marstrand"
Q358519,"Gordie Howe","Gordie Howe"
Q358612,"Israel Silvestre","Israel Silvestre"
Q358623,"Lodewijk Mortelmans","Lodewijk Mortelmans"
Q358635,"Lodewijk Elzevir","Lodewijk Elzevir"
Q358750,"Gianluca Petrella","Gianluca Petrella"
Q358777,"Yves Saint-Martin","Yves Saint-Martin"
Q358818,"Charles Gorrie Wynne","Charles Gorrie Wynne"
Q358868,"Joe Puma","Joe Puma"
Q358990,"James Hong","James Hong"
Q359048,"Pietro Peregrossi","Pietro Peregrosso"
Q359143,"Henry Percy, 9th Earl of Northumberland","Henry Percy, 9th Earl of Northumberland"
Q359207,"BD Wong","BD Wong"
Q359245,"Veikko Aaltonen","Veikko Aaltonen"
Q359413,"Adnan Khairallah","Adnan Khairallah"
Q359488,"Michael Peña","Michael Peña"
Q359563,"Justinas Marcinkevičius","Justinas Marcinkevičius"
Q359608,"Nathan Homer Knorr","Nathan Homer Knorr"
Q359659,"John Rocque","John Rocque"
Q359665,"David Walliams","David Walliams"
Q359717,"Naftali Herz Imber","Naftali Herz Imber"
Q359988,"Ruby Braff","Ruby Braff"
Q360005,"Gene Quill","Gene Quill"
Q360106,"David Sarnoff","David Sarnoff"
Q360252,"René Worms","René Worms"
Q360313,"Gil Bellows","Gil Bellows"
